name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication_status,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
HD 204313 c,Confirmed,0.0553,0.0053,0.0053,0.0553,0.0053,0.0053,,,,34.905,0.012,0.012,0.2099,0.0071,0.0071,0.155,0.071,0.071,,,,0.00444,2011,2015-10-26,238.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,3.42,0.22,0.22,,,,,,,,,,Submitted to a professional journal,Velocity,Velocity,,,,HD 204313,322.05,-21.7263889,7.99,,,,,47.37,1.39,1.39,0.18,0.02,0.02,1.045,0.033,0.033,,,,G5V,3.38,2.58,2.58,5767.0,17.0,17.0,,,
HD 204313 d,Confirmed,1.68,0.3,0.3,1.68,0.3,0.3,,,,2831.6,150.0,150.0,3.93,0.14,0.14,0.28,0.09,0.09,,,,0.082964,2012,2012-05-22,247.0,16.0,16.0,2456376.9,176.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 204313,322.05,-21.7263889,7.99,,,,,47.37,1.39,1.39,0.18,0.02,0.02,1.045,0.033,0.033,,,,G5V,3.38,2.58,2.58,5767.0,17.0,17.0,,,
HD 204941 b,Confirmed,0.266,0.032,0.032,0.266,0.032,0.032,,,,1733.0,74.0,74.0,2.56,0.08,0.08,0.37,0.08,0.08,,,,0.094815,2011,2011-08-02,228.0,18.0,18.0,2456015.0,92.0,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 204941,323.1,-20.9575,8.45,,,,,27.0,1.0,1.0,-0.19,0.03,0.03,0.74,,,0.72,,,,6.67,0.77,0.77,5056.0,52.0,52.0,,,
HD 205739 b,Confirmed,1.37,0.09,0.07,1.37,0.09,0.07,,,,279.8,0.1,0.1,0.896,0.015,0.015,0.27,0.07,0.07,,,,0.009922,2008,2008-09-08,301.0,8.0,8.0,3390.7,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 205739,324.5333333,-31.7375,8.56,,7.59,7.35,7.23,90.3,,,0.19,0.04,0.04,1.22,0.06,0.06,1.33,0.1,0.1,F7V,2.84,0.92,0.92,6176.0,30.0,30.0,,,
HD 206610 b,Confirmed,2.2,0.1,0.1,2.2,0.1,0.1,,,,610.0,13.0,13.0,1.68,0.05,0.05,0.229,0.058,0.058,,,,0.00866,2010,2010-03-19,296.0,10.0,10.0,2454677.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 206610,325.8541667,-7.4083333,8.34,,,,,194.0,36.0,36.0,0.14,0.03,0.03,1.56,0.11,0.11,6.1,0.1,0.1,K0,3.0,1.0,1.0,4874.0,44.0,44.0,,,
HD 20781 b,Confirmed,0.0379,0.0035,0.0035,0.0379,0.0035,0.0035,,,,29.15,0.0201,0.0201,0.169,0.0028,0.0028,0.11,0.06,0.06,,,,0.004774,2011,2014-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 20781,50.0125,-28.7838889,8.44,,,,,35.4,1.0,1.0,,,,,,,,,,G9.5V,,,,,,,,,
HD 20781 c,Confirmed,0.0496,0.0038,0.0038,0.0496,0.0038,0.0038,,,,85.131,0.1161,0.1161,0.3456,0.0047,0.0047,0.28,0.09,0.09,,,,0.009763,2011,2014-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 20781,50.0125,-28.7838889,8.44,,,,,35.4,1.0,1.0,,,,,,,,,,G9.5V,,,,,,,,,
HD 20782 b,Confirmed,1.9,0.5,0.5,1.9,0.5,0.5,,,,591.9,2.8,2.8,1.381,0.005,0.005,0.97,0.01,0.01,,,,0.03834,2006,2016-01-19,147.7,6.5,6.5,2451175.9,8.4,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 20782,50.0125,-28.8538889,7.38,,,,,36.02,1.0,1.0,-0.05,0.03,0.03,1.0,0.03,0.03,,,,G2 V,7.1,4.3,4.3,5578.0,30.0,30.0,,,
HD 20794 b,Confirmed,0.00887,0.0025,0.00031,0.00887,0.0025,0.00031,,,,18.33,0.02,0.01,0.127,0.001,0.001,0.27,0.22,0.04,,,,0.019917,2011,2017-06-25,26.0,5.0,27.0,,,,,,,,,,,,,,,,,,,,,,0.81,0.24,0.0,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,82 Eri b,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,
HD 20794 d,Confirmed,0.0111,0.00318,0.0018,0.0111,0.00318,0.0018,,,,88.9,0.41,0.37,0.364,0.004,0.004,0.25,0.21,0.1,,,,0.057739,2011,2017-06-25,252.0,44.0,48.0,,,,,,,,,,,,,,,,,,,,,,0.6,0.18,0.1,,,,,,,,,,Published in a refereed paper,Velocity,,,82 Eri d,,HD 20794,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,14.0,5.0,6.0,5490.0,70.0,70.0,IR Excess,,
HD 208487 b,Confirmed,0.413,0.05,0.05,0.413,0.05,0.05,,,,129.8,0.4,0.4,0.51,0.02,0.02,0.21,0.09,0.09,,,,0.011333,2004,2010-12-24,123.0,40.0,40.0,51008.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 208487,329.3291667,-37.7636111,7.48,,,,,45.0,,,-0.06,0.05,0.05,1.3,,,1.15,,,G2V,3.88,,,5929.0,,,,,
HD 20868 b,Confirmed,1.99,0.05,0.05,1.99,0.05,0.05,,,,380.85,0.09,0.09,0.947,0.012,0.012,0.75,0.002,0.002,,,,0.019366,2008,2014-08-27,356.2,0.4,0.4,2454451.52,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 20868,50.1791667,-33.73,9.92,,,,,48.9,3.5,3.5,0.04,0.1,0.1,0.78,0.03,0.03,0.79,,,K3/4IV,4.5,4.0,4.0,4795.0,12.4,12.4,,,
HD 210277 b,Confirmed,1.23,0.03,0.03,1.23,0.03,0.03,,,,442.1,0.4,0.4,1.1,0.02,0.02,0.472,0.011,0.011,,,,0.051667,1998,2006-09-06,118.2,1.9,1.9,50988.2,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 210277,332.3708333,-7.5422222,6.63,,,,,21.29,0.36,0.36,0.19,0.04,0.04,1.09,,,1.1,0.05,0.05,G0,6.93,,,5532.0,14.0,14.0,IR Excess,,
HD 210702 b,Confirmed,1.9,,,1.9,,,,,,354.8,1.1,1.1,1.2,,,0.152,0.08,0.08,,,,0.020893,2007,2012-09-01,301.0,30.0,30.0,2452205.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 210702,332.9625,16.0405556,5.93,,,,,56.0,2.3,2.3,0.12,0.04,0.04,1.68,0.18,0.18,5.1,0.4,0.3,K1IV,1.4,1.0,1.0,5010.0,44.0,44.0,,,
HD 215152 e,Confirmed,0.01091,0.006711,0.00145,0.01091,0.006711,0.00145,,,,25.1968,0.0526,0.0478,0.15417,0.00204,0.00199,0.173,0.169,0.287,,,,,2018,2018-02-20,163.9,167.1,167.3,,,,,,,,,,,,,,,,,,,,,,0.914,0.559,0.128,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,,,HD 215152,340.8375,-6.4008333,6.45,,,,,21.5,0.4,0.4,-0.1,0.04,0.04,0.77,0.015,0.015,0.73,0.018,0.018,K3V,,,,4935.0,76.0,76.0,IR Excess,,
HD 215456 b,Confirmed,0.101,,,0.101,,,,,,191.99,,,0.652,,,0.15,,,,,,0.017158,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 215456,341.5333333,-48.9677778,6.63,,,,,38.0,0.7,0.7,,,,,,,,,,G0.5V,,,,,,,,,
HD 215456 c,Confirmed,0.246,,,0.246,,,,,,2277.0,,,3.394,,,0.19,,,,,,0.089316,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 215456,341.5333333,-48.9677778,6.63,,,,,38.0,0.7,0.7,,,,,,,,,,G0.5V,,,,,,,,,
HD 215497 b,Confirmed,0.02,,,0.02,,,,,,3.93404,0.00066,0.00066,0.047,,,0.16,0.009,0.009,,,,0.001068,2009,2010-12-06,96.0,34.0,34.0,54858.95,0.37,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 215497,341.6541667,-56.5994444,8.97,,,,,44.0,2.0,2.0,0.23,0.07,0.07,0.87,0.023,0.023,,,,K3V,7.0,inf,nan,5113.0,93.0,93.0,,,
HD 215497 c,Confirmed,0.33,,,0.33,,,,,,567.94,2.7,2.7,1.282,,,0.49,0.04,0.04,,,,0.029136,2009,2010-12-06,45.0,4.0,4.0,55003.48,5.15,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 215497,341.6541667,-56.5994444,8.97,,,,,44.0,2.0,2.0,0.23,0.07,0.07,0.87,0.023,0.023,,,,K3V,7.0,inf,nan,5113.0,93.0,93.0,,,
HD 216435 b,Confirmed,1.26,0.13,0.13,1.26,0.13,0.13,,,,1311.0,49.0,49.0,2.56,0.17,0.17,0.07,0.078,0.078,,,,0.076877,2002,2016-01-15,100.0,,,2450870.0,210.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 216435,343.4041667,-48.5980556,6.03,,,,,33.3,,,0.244,,,1.3,,,2.0,0.7,0.7,G0 V,5.27,,,5767.0,,,IR Excess,,
HD 216437 b,Confirmed,1.82,,,1.82,,,,,,1256.0,35.0,35.0,2.32,,,0.29,0.12,0.12,,,,0.087547,2002,2010-12-30,63.0,22.0,22.0,50693.0,130.0,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 216437,343.6625,-70.0736111,6.06,,,,,26.5,,,0.25,,,1.06,,,1.1,,,G4 IV-V,12.96,,,5636.0,,,,,
HD 219828 b,Confirmed,0.0661,0.0044,0.0044,0.0661,0.0044,0.0044,,,,3.834887,9.6e-05,9.6e-05,0.045,,,0.059,0.036,0.036,,,,0.000641,2007,2016-05-24,255.0,38.0,38.0,2455998.78,0.036,0.036,,,,,,,,,,,,,,,,,,,7.53,0.28,0.28,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,,,HD 219828,349.6958333,18.6458333,8.04,,,,,81.1,1.0,1.0,0.19,0.03,0.03,1.24,,,1.7,0.16,0.16,G0IV,5.8,1.2,1.2,5891.0,18.0,18.0,,,
HD 221287 b,Confirmed,3.09,0.79,0.79,3.09,0.79,0.79,,,,456.1,7.7,7.7,1.25,0.04,0.04,0.08,0.17,0.17,,,,0.023629,2007,2014-08-30,98.0,92.0,92.0,2453263.0,52.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 221287,352.8333333,-58.2097222,7.82,,,,,52.9,2.4,2.4,0.03,0.05,0.05,1.25,0.1,0.1,,,,F7 V,1.3,,,6304.0,45.0,45.0,,,
HD 222155 b,Confirmed,1.9,0.53,0.67,1.9,0.53,0.67,,,,3999.0,541.0,541.0,5.1,0.7,0.7,0.16,0.22,0.22,,,,0.10387,2012,2012-05-25,137.0,52.0,52.0,2456319.0,498.0,498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 222155,354.5,48.9963889,7.1,,,,,49.1,1.5,1.5,-0.11,0.05,0.05,1.13,0.11,0.11,1.67,0.7,0.7,G2V,8.2,0.7,0.7,5765.0,22.0,22.0,,,
HD 222582 b,Confirmed,7.75,0.65,0.65,7.75,0.65,0.65,,,,572.38,0.61,0.61,1.35,0.08,0.08,0.725,0.012,0.012,,,,0.032143,1999,2016-01-15,319.01,0.87,0.87,2450706.7,2.8,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 222582,355.4625,-5.9855556,7.7,,,,,42.0,,,-0.0229,,,0.99,,,1.15,,,G5,6.16,,,5662.0,,,,,
HD 224693 b,Confirmed,0.71,,,0.71,,,,,,26.73,0.02,0.02,0.233,,,0.05,0.03,0.03,,,,0.002479,2006,2006-04-18,6.0,200.0,200.0,2453193.9,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 224693,359.975,-22.4280556,8.23,,,,,94.0,,,0.343,0.03,0.03,1.33,0.1,0.1,1.7,0.3,0.3,G2IV,2.0,0.5,0.5,6037.0,44.0,44.0,,,
HD 22781 b,Confirmed,13.65,0.97,0.97,13.65,0.97,0.97,,,,528.07,0.14,0.14,1.167,0.039,0.039,0.8191,0.0023,0.0023,,,,0.03671,2011,2011-11-04,315.92,0.56,0.56,2454881.4,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 22781,55.2083333,31.8263889,8.77,,,,,31.79,,,-0.37,0.12,0.12,0.75,0.03,0.03,,,,K0V,4.75,4.15,4.15,5027.0,50.0,50.0,,,
HD 23079 b,Confirmed,2.45,0.21,0.21,2.45,0.21,0.21,,,,730.6,5.7,5.7,1.596,0.093,0.093,0.102,0.031,0.031,,,,0.043103,2001,2016-01-21,55.0,17.0,17.0,2450492.0,37.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 23079,54.9291667,-52.9158333,7.1,,,,,34.8,,,-0.24,,,1.1,0.15,0.15,1.13,,,F8/G0 V,6.53,,,5848.0,,,,,
HD 23127 b,Confirmed,1.5,0.2,0.2,1.5,0.2,0.2,,,,1214.0,9.0,9.0,2.4,0.3,0.3,0.44,0.07,0.07,,,,0.026936,2007,2016-01-14,190.0,6.0,6.0,2450229.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 23127,54.85,-60.0777778,8.58,,,,,89.1,,,0.34,,,1.13,,,,,,G2V,7.1,,,5927.0,,,,,
HD 231701 b,Confirmed,1.08,,,1.08,,,,,,141.89,0.15,0.15,0.53,,,0.096,0.069,0.069,,,,0.004889,2007,2016-02-02,54.4,3.69,3.69,2454885.141,1.422,1.422,,,,,,,,,,,,,,,,,,,39.06,2.64,2.64,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 231701,293.0166667,16.4741667,8.97,,,,,108.4,,,0.07,0.03,0.03,1.14,0.08,0.08,1.35,0.2,0.2,F8V,4.9,1.3,1.3,6208.0,44.0,44.0,,,
HD 240210 b,Confirmed,6.9,,,6.9,,,,,,501.75,2.33,2.33,1.33,,,0.15,0.02,0.02,,,,0.009301,2009,2014-08-27,277.49,7.77,7.77,2454487.38,10.93,10.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 240210,347.6208333,57.0294444,8.33,,,,,143.0,53.0,53.0,-0.18,0.12,0.12,1.25,0.25,0.25,,,,K3III,,,,4290.0,13.0,13.0,,,
HD 240237 b,Confirmed,5.3,,,5.3,,,,,,745.7,13.8,13.8,1.9,,,0.4,0.1,0.1,,,,0.001267,2010,2011-10-11,108.1,21.8,21.8,44292.0,28.3,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 240237,348.925,58.0433333,8.19,,,,,1500.0,,,-0.26,0.07,0.07,1.69,0.42,0.42,32.0,1.0,1.0,K2III,,,,4361.0,10.0,10.0,,,
HD 24040 b,Confirmed,4.01,0.49,0.49,4.01,0.49,0.49,,,,3668.0,170.0,170.0,4.92,0.38,0.38,0.04,0.06,0.06,,,,0.105784,2006,2012-05-25,154.0,54.0,54.0,2454308.0,839.0,839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 24040,57.5958333,17.4763889,7.52,,,,,46.51,2.3,2.3,0.206,0.03,0.03,1.18,,,,,,G0,6.68,1.52,1.52,5853.0,44.0,44.0,,,
HD 25171 b,Confirmed,0.95,0.1,0.1,0.95,0.1,0.1,,,,1845.0,15.0,15.0,3.02,0.16,0.16,0.08,0.06,0.06,,,,0.054909,2010,2010-12-20,96.0,89.0,89.0,55301.0,449.0,449.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 25171,58.9541667,-65.1866667,7.79,,,,,55.0,1.5,1.5,-0.11,0.044,0.044,1.09,0.3,0.3,1.18,0.04,0.04,F8V,2.0,1.6,1.6,6160.0,65.0,65.0,,,
HD 2638 b,Confirmed,0.48,,,0.48,,,1.04,,,3.43752,0.008239,0.008239,0.044,,,0.0407,0.0351,0.0407,,,,0.000819,2005,2016-09-03,126.9,78.6,78.6,2453323.282,,,,,,,,,,,,,,,,,,53323.206,0.002,0.002,66.26,2.83,2.83,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,Theoretical,,,HD 2638,7.4958333,-5.7638889,9.44,,,,,53.71,,,0.16,0.05,0.05,0.93,,,,,,G5,3.0,,,5192.0,38.0,38.0,,,
HD 27442 b,Confirmed,1.35,0.11,0.11,1.35,0.11,0.11,,,,415.2,0.5,0.5,1.16,0.11,0.11,0.058,0.05,0.05,,,,0.064088,2000,2011-04-08,347.0,20.0,20.0,2451849.3,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 27442,64.1208333,-59.3019444,4.44,,,,,18.1,,,0.22,,,1.2,0.1,0.1,6.6,,,K2 IV a,7.15,,,4749.0,50.0,50.0,,,
HD 28185 b,Confirmed,5.7,,,5.7,,,,,,383.0,2.0,2.0,1.03,,,0.07,0.04,0.04,,,,0.026142,2001,2010-12-20,351.0,25.0,25.0,51853.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 28185,66.6083333,-10.5505556,7.81,,,,,39.4,,,0.24,,,1.24,,,1.03,,,G5,5.36,,,5482.0,,,,,
HD 28254 b,Confirmed,1.16,0.06,0.1,1.16,0.06,0.1,,,,1116.0,26.0,26.0,2.15,0.05,0.05,0.81,0.02,0.02,,,,0.038256,2009,2010-09-08,301.0,4.0,4.0,4049.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 28254,66.2125,-50.6222222,7.71,,,,,56.2,2.0,2.0,0.36,0.03,0.03,1.06,,,1.48,0.06,0.06,G1IV/V,,,,5664.0,35.0,35.0,,,
HD 290327 b,Confirmed,2.54,0.14,0.17,2.54,0.14,0.17,,,,2443.0,117.0,117.0,3.43,0.12,0.12,0.08,0.03,0.03,,,,0.062477,2009,2010-09-08,268.0,19.0,19.0,5326.0,412.0,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 290327,80.8416667,-2.2775,8.96,,,,,54.9,4.3,4.3,-0.11,0.02,0.02,0.9,,,1.0,0.01,0.01,G8V,,,,5552.0,21.0,21.0,,,
HD 30562 b,Confirmed,1.29,0.08,0.08,1.29,0.08,0.08,,,,1157.0,27.0,27.0,2.3,0.02,0.02,0.76,0.05,0.05,,,,0.086792,2009,2009-09-25,81.0,10.0,10.0,10131.5,14.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 30562,72.15,-5.6741667,5.77,,,,,26.5,,,0.243,0.04,0.04,1.219,0.04,0.04,1.637,0.06,0.06,F8V,4.0,,,5861.0,44.0,44.0,,,
HD 30856 b,Confirmed,1.8,0.2,0.2,1.8,0.2,0.2,,,,912.0,41.0,41.0,2.0,0.08,0.08,0.24,inf,nan,,,,0.016935,2011,2011-09-02,180.0,60.0,60.0,2455260.0,150.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 30856,72.575,-24.3688889,8.07,,,,,118.1,9.9,9.9,-0.06,0.03,0.03,1.35,0.094,0.094,4.2,0.1,0.1,K0III,3.8,1.0,1.0,4982.0,44.0,44.0,,,
HD 31253 b,Confirmed,0.5,0.07,0.07,0.5,0.07,0.07,,,,466.0,3.0,3.0,1.26,0.006,0.006,0.3,0.2,0.2,,,,0.023411,2010,2010-11-19,244.0,23.0,23.0,10660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 31253,73.6833333,12.3522222,7.13,,,,,53.82,3.45,3.45,0.16,,,1.23,0.05,0.05,1.71,,,F8,3.0,,,5960.0,,,,,
HD 31527 b,Confirmed,0.0363,0.0025,0.0025,0.0363,0.0025,0.0025,,,,16.546,0.0074,0.0074,0.1253,0.002,0.002,0.13,0.05,0.05,,,,0.003246,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 31527,73.9083333,-23.2419444,7.48,,,,,38.6,0.9,0.9,,,,,,,,,,G0V,,,,,,,,,
HD 31527 c,Confirmed,0.0498,0.00345,0.00345,0.0498,0.00345,0.00345,,,,51.284,0.0848,0.0848,0.2665,0.0044,0.0044,0.11,0.07,0.07,,,,0.006904,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 31527,73.9083333,-23.2419444,7.48,,,,,38.6,0.9,0.9,,,,,,,,,,G0V,,,,,,,,,
HD 31527 d,Confirmed,0.0519,0.0257,0.0257,0.0519,0.0257,0.0257,,,,274.49,7.8133,7.8133,0.8181,0.0203,0.0203,0.38,0.25,0.25,,,,0.021194,2011,2011-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Velocity,,,,,HD 31527,73.9083333,-23.2419444,7.48,,,,,38.6,0.9,0.9,,,,,,,,,,G0V,,,,,,,,,
HD 32518 b,Confirmed,3.04,0.69,0.69,3.04,0.69,0.69,,,,157.54,0.38,0.38,0.59,0.03,0.03,0.01,0.03,0.03,,,,0.005026,2009,2009-08-13,306.11,126.71,126.71,2452950.29,13.66,13.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 32518,77.4041667,69.6394444,6.44,,,,,117.4,10.7,10.7,-0.15,0.04,0.04,1.13,0.18,0.18,10.22,0.87,0.87,K1III,5.83,2.58,2.58,4580.0,70.0,70.0,,,
HD 32963 b,Confirmed,0.7,0.03,0.03,0.7,0.03,0.03,,,,2372.0,26.0,26.0,3.41,0.02,0.02,0.07,0.04,0.04,,,,,2015,2015-12-02,107.0,35.0,35.0,2450532.0,324.0,324.0,,,,,,,,,,,,,,,,,,,11.1,0.4,0.4,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,,,,HD 32963,76.983333352,26.328055571,7.6,,,,,,,,0.11,0.05,0.05,0.94,,,,,,G5IV,4.99,3.6,6.7,5727.0,32.0,32.0,,,
HD 330075 b,Confirmed,0.62,,,0.62,,,1.06,,,3.6413,0.00187,0.00187,0.039,,,0.0187,0.0684,0.0187,,,,0.000777,2004,2015-02-25,38.2,91.2,91.2,2452968.399,,,,,,,,,,,,,,,,,,2452878.815,0.003,0.003,97.84,8.79,8.79,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,Theoretical,,,HD 330075,237.4041667,-49.9633333,9.36,,,,,50.2,,,0.03,,,0.95,,,,,,G5,6.21,,,6295.0,,,,,
HD 33142 b,Confirmed,1.3,0.1,0.1,1.3,0.1,0.1,,,,326.6,3.9,3.9,1.06,0.03,0.03,0.22,inf,nan,,,,0.008413,2011,2011-09-02,138.0,60.0,60.0,2455324.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 33142,76.9,-13.9863889,8.13,,,,,126.0,11.0,11.0,0.05,0.03,0.03,1.48,0.1,0.1,4.2,0.1,0.1,K0III,3.0,0.4,0.4,5052.0,44.0,44.0,,,
HD 33283 b,Confirmed,0.33,,,0.33,,,0.99,,,18.1801,0.008,0.008,0.168,,,0.458,0.0656,0.0569,,,,0.001953,2006,2015-02-16,156.0,9.6,9.6,2453560.0,0.3,0.3,,,,,,,,,,,,,,,,,,,24.48,2.41,2.41,,,,,,,,,,Published in a refereed paper,Velocity,Velocity,Theoretical,,,HD 33283,77.0041667,-26.7972222,8.05,,,,,86.0,,,0.366,0.05,0.05,1.24,0.1,0.1,1.2,0.1,0.1,G3V,3.2,2.3,2.3,5995.0,50.0,50.0,,,
HD 33564 b,Confirmed,9.1,,,9.1,,,,,,388.0,3.0,3.0,1.1,,,0.34,0.02,0.02,,,,0.052431,2005,2010-12-23,205.0,4.0,4.0,52603.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Velocity,,,,,HD 33564,80.6375,79.2311111,5.08,,,,,20.98,0.2,0.2,-0.12,,,1.25,0.04,0.04,1.1,,,F6 V,3.0,0.3,0.3,6250.0,,,,,
